,e_id,email_body,subject_line,user
0,_161.subject,"Wade,   I understood your number one priority was to deal with your vehicle  situation. You need to take care of it this week. Lucy can't hold the  tenants to a standard (vehicles must be in running order with valid stickers)  if the staff doesn't live up to it. If you decide to buy a small truck and  you want to list me as an employer for credit purposes, I will vouch for your  income. Phillip",For Wade,allen-p
1,_251.subject,"Will,   Here is a list of the top items we need to work on to improve the position  and p&l reporting for the west desk. My underlying goal is to create position managers and p&l reports that  represent all the risk held by the desk and estimate p&l with great accuracy. Let's try and schedule a meeting for this Wednesday to go over the items  above. Phillip",Priority List,allen-p
2,_3.subject,"Christy,   I read these points and they definitely need some touch up. I don't  understand why we need to give our commentary on  why prices are so high in  California. This subject has already gotten so much press. Phillip",Talking points about California Gas market,allen-p
3,_50.subject,"Jed,   I understand you have been contacted regarding a telephone interview to  discuss trading opportunities at  Enron. I am sending you this message to  schedule the interview. Please call or email me with a time that would be  convenient for you. I look forward to speaking with you.",Enron,allen-p
4,_500.subject,"Griff,    Can you accomodate Dexter as we have in the past. This has been very helpful  in establishing a fair index at Socal Border. Phillip  Please cc me on the email with a guest password. The sooner the better as  bidweek is underway.",NGI access to eol,allen-p
5,_524.subject,"Lucy,  The apartments that have new tenants since December 15th are:   1,2,8,12,13,16,20a,20b,25,32,38,39. Are we running an apartment complex or a motel? Please update all lease information on the 1/12 rentroll and email it to me  this afternoon. Phillip",updated lease information,allen-p
6,_69.subject,"Liane,   As we discussed yesterday, I am concerned there has been an attempt to  manipulate the  El Paso San Juan monthly index. A single buyer entered the  marketplace on both September 26 and 27 and paid above market prices  ($4.70-$4.80) for San Juan gas with the intent to distort the index. At the  time of these trades, offers for physical gas at significantly (10 to 15  cents) lower prices were bypassed in order to establish higher trades to  report into the index calculation. Additionally, these trades are out of  line with the associated financial swaps for San Juan. We have compiled a list of financial and physical trades executed from  September 25 to September 27. These are the complete list of trades from  Enron Online (EOL), Enron's direct phone conversations, and three brokerage  firms (Amerex, APB, and Prebon). Please see the attached spreadsheet for a  trade by trade list and a summary. We have also included a summary of gas  daily prices to illustrate the value of San Juan based on several spread  relationships. The two key points from this data are as follows:   1. The high physical prices on the 26th & 27th (4.75,4,80) are much greater  than the high financial trades (4.6375,4.665) on those days. 2. The spread relationship between San Juan and other points (Socal &  Northwest)  is  consistent between the end of September and         October gas daily. It doesn't make sense to have monthly indeces that  are dramatically different. I understand you review the trades submitted for outliers. Hopefully, the  trades submitted will reveal counterparty names and you will be able to  determine that there was only one buyer in the 4.70's and these trades are  outliers. I wanted to give you some additional points of reference to aid in  establishing a reasonable index. It is Enron's belief that the trades at  $4.70 and higher  were above market trades that should be excluded from the  calculation of index. It is our desire to have reliable and accurate indeces against which to  conduct our physical and financial business. Please contact me  anytime I can assist you towards this goal. Sincerely,",San Juan Index,allen-p
7,_255.subject,"Ina: 1. Vacation is fine. 2. Please put meeting below on calendar. 3. I am going to analyst presentation at Vanderbilt. Find out when it is and  put on calendar. 4. Can you find out who is on the ENA management committee meeting I went to  along with their title and responsibilities. 5. Can you schedule a meeting for Tuesday or Wednesday late afternoon with  Phillip, Hunter, and Fletch about EOL Thanks.",Bi-weekly Meeting,arnold-j
8,_377.subject,"I am changing the way the curve is generated starting in Jan 2004 to better  replicate seasonal fundamentals. There are convincing arguments as to why  the summer/winter spreads should tighten over time. However, in the previous  methodology they blew out. For instance summer/winter in Cal 3 was .232  while Cal 10 was .256. I have added a seasonality dampening function that both contracts the  summer/winter spread and applies a premium to the electric load demand months  of July and August over time. The formula for the curve remains the same except for a premium lookup for  the month as well as for the year. These premiums are as follows:  Jan  -.008 Feb -.004 Mar -.001 Apr .002 May .003 Jun .004 Jul .004 Aug .004 Sep .003 Oct .002 Nov -.003 Dec -.006   These premiums start in Jan 2004 On Wednesday Jan 2003 settled 2.959,  the 3/4 spread was marked at .0375, the  4/5 spread was marked at .0475. In the old methodology Jan 2003  = 2.959 Jan 2004  = 2.959 + .0375 = 2.9965 Jan 2005  =          2.9965 + .0475 = 3.044   In the new methodology Jan 2003  = 2.959 Jan 2004  = 2.959 + .0375 - .008 =2.9885 Jan 2005  = 2.9885 + .0475 -.008 = 3.028  The only change in the formula is from: Month x = Month (x- 1 year) + lookup on year on year table to Month x = Month (x- 1 year) + lookup on year on year table + lookup on month  premium table  The seasonality premiums will change over time and I will let you know when I  change them",New curve generation methodology,arnold-j
9,_2.subject,"Suresh  For the next two weeks, I'd like you to focus on the following. 1. Development frame-work and getting Zach upto speed  Specs for Syndication report & testing & production date  Finalize questionnaire and production date  Modifications to Invitee and User stats 2. EnronOnline auctions - structure, and hash out details to enable kick off 3. Legal frame-work , shorten contracts for both deal-rooms and auctions 4. Marketing materials for procurement - and leasing, mail to top 100 list. 5.Complete transfer of operations to Networks group (Sherri Thomas's group) 6. Budget changes 7. Finalize hiring needs for Q1 and Q2 8. Focus each of the marketing leads on revenue, client lists, outreach,  marketing and sales strategy  Ross - procurement  Don - Banks  Toby - Data rooms  Miguel - leases, legal and other data rooms 9. Dataroom development frame-work   Harry",Tasks,arora-h
10,_1009.subject,"Your P&L tonight was down 7,500, including Elsa and Carey. Storage was 9,000  up. The AGA was 133 withdrawal. Your position is short 40. We'll see you  tomorrow. Dave and Bryan",1/5/00 P&L,bass-e
11,_1012.subject,"Hey Danny,  When does the next flag football season start at the YMCA? We would like to  play in the next league. Also,  are you planning to have another flag football tournament this  summer? If so, when? Thanks,",Flag Football,bass-e
12,_1134.subject,"Rob,  I don't know if you can help me with this, but I need to get a new stack  manager logon ID created under my name ( ebass logon). Can you help? If not  please forward to the relevant party. Thanks,",New Stack Manager ID,bass-e
13,_1145.subject,"Edie,  Here is the updated EOL data for the Texas Region. 2000 DATA 2000 EOL Trades = 13,500 2000 EOL Volume = 2.5 TCF   2001 DATA 2001 Plan EOL Trades = 17,500 2001 Plan EOL Trades/Month = 1,460 2001 EOL Volume = 3 TCF  Could you please update the plan numbers for Tom? Thanks,",Texas EOL DATA,bass-e
14,_118.subject,Everyone should be in the draft room now at  basketball.commissioner.com/efba. follow the draft link and go to draft room  and click on html draft. I am settin the order right now,DRAFT NOW!,bass-e
15,_1211.subject,We are getting a group together to play paintaball tomorrow at around 10 am. We will be playing at Adventure Village (just north of Intercontinental  Airport on FM 1960). Their website is www.adventurevillage.com. The total  cost should be somewhere between $30-$40 per person ( about $15 for a gun and  $6 per 100 paintballs). Let me know if you can make it.,Paintball Tomorrow,bass-e
16,_1228.subject,"Rob,  I know we have visited before on this product, but now I would like to go  ahead up. I need to set up a Gas Daily Index product priced off of IF Katy. The short name would be IF GD/D Katy. Thanks,",New Product,bass-e
17,_124.subject,Just as clarification - we start 6 players and have weekly scoring in haed to  head matchups. You can chage your lineup before each day's worth of action. Your sixth man can be any position. The draft order will be determind at  10:30.,Fantast Basketball DRAFT TODAY @ 10:30,bass-e
18,_125.subject,"Since the NBA season begins tonight, we need to have the fantasy basketball  draft today @ 10:30 AM. Tell me if this is ok. If you do not remember the  rules, go to the link below and scroll down to the bottom of the page to the  rules link. The Academy will roll once again! And by the way plove, it is last day for everyone. You can take 1 minute out  of every half hour today to make a pick. Everyone else has agreed. Besides  it won't be as much fun without my whipping boy again. basketball.commissioner.com/efba   I never heard anything back from Walker's Westies so The Rounders are taking  his spot.",Fantast Basketball DRAFT TODAY @ 10:30,bass-e
19,_1316.subject,I was wondering if ya'll wanted to have a happy hour on Friday for Tim and  Louise in honor of their recent engagement. Do you have any ideas on places  to go? Let me know,Bouche,bass-e
20,_1359.subject,"Can both of you forward the telluride pictures to me so I can get them  developed? Dad - they reside in the ""my documents"" folder under the ""my pictures""  heading. Thanks,",Pictures,bass-e
21,_136.subject,"Hi Mom,  Where are we staying in Telluride again? I have been looking at some  restaurants on telluride.org - it looks like they have some nice places. Maybe we should look into doing a sleigh ride or snowmobile dinner outing one  night.",Telluride,bass-e
22,_137.subject,Do you want to go to Austin tonight? I have an extra ticket to the game  tomorrow. We will be back to Houston by 5 tomorrow. Let me know. Eric,Austin,bass-e
23,_150.subject,"Hey Michael,  I just wanted to confirm my position on the team. I know you have already  talked to Luis Mena about putting together a team, and I would like to be on  that team. Hopefully this year we can practice a little more and take home the  championship. Hook 'em. Eric x3-0977",UT/A&M football tourney,bass-e
24,_17.subject,"Dan,  I work for Tom Martin on the Texas Gas Trading Desk and he has some questions  on EOL ""Force Majeure"" language. Specifically, we buy/sell gas at the Exxon  Katy Plant and were wondering the ""Force Majeure"" ramifications of the the  Plant closing due to freeze-offs, i.e. can we claim Force Majeure in that  instance and what remedies are provided for in the EOL contract language? Additionally, we buy/sell gas at HPL pooling points such as Agua Dulce Pool  and were curious about the Force Majeure provisions and remedies for these  pooling zones. I do not know if you are the right person to contact regarding this  information, but if you can provide any insight I would greatly appreciate it. Thanks in advance. Sincerely,","EnronOnline ""Force Majeure"" Language",bass-e
25,_213.subject,"Please disregard the changes to the Agua Dulce product below. Instead I need to change the Corpus Chr PoolX product. Please remove Koch  Refinery (Meter #1244) from the Corpus product. The applicable product numbers are 27661, 27662, 27663, 27660. Thanks,",Product Description Change,bass-e
26,_214.subject,"Could you please remove Koch Bayside (meter #3537) from the delivery point on  the US Gas Phy HPL/AguaD product? The applicable product numbers are 33462, 33464, 33491, and 33492. Thanks,",Product Description Change,bass-e
27,_261.subject,Our game tonight is at 7:00. Please try to make it by 6:30. As of now we have eight people. Tim - can you see if Micah can play again?,Game tonight @ 7:00,bass-e
28,_273.subject,"Plove is going to go to Dallas. We are going to leave next Friday when he  gets done (7ish) and go up for the game. The game is at 11 in the morning,  so we will come home directly after it. Plove says he has a friend who has a  place in Dallas that we can crash at if we don't want to pay for a hotel. Do you want to go?",Dallas,bass-e
29,_30.subject,"Don,  Here is the information that you requested. My resume is updated up to my  last rotation (Risk Mgmt). My current rotation is in Texas Gas Trading and  my supervisor is Tom Martin. My supervisor in Risk Mgmt. was Brenda Herod. Let me know if you need anything else. Thanks,",Information,bass-e
30,_326.subject,"Here is the detail on the new products:  THOMPSONVILLE Receipt Pts Lobo Thompsonville (Meter #9648) Tejas Thompsonville (Meter #6351) PG&E Thompsonville (Meter #6296)   Delivery Pt. NGPL Thomsponville (Meter #1342)     AGUA DULCE Receipt Pts. PG&E Riverside (Meter #6040) PG&E Agua Dulce (Meter #584) Tennesee Agua Dulce (Meter #574) Lobo Agua Dulce (Meter #7038) Tejas Gregory (Meter #3358) Channel Agua Dulce (Meter #3500) MOPS/NNG Tivoli (Meter #5674) Tomcat (Meter #553)   Delivery Pts. Tejas Riverside (Meter #3543) NGPL Riverside (Meter #3545) Channel Agua Dulce (Meter #3500) Tenessee Agua Dulce (Meter #694) Koch Bayside (Meter #3537)   We would like to get these products out by bid week if at all possible. Let me know if you have further questions. Thanks,",Agua Dulce and Thompsonville Products,bass-e
31,_342.subject,"So,  I think Jason is going to go to the game now. So, I need to buy you and  Mom tickets. Before I do that, do you have any friends at UH or UT (maybe  Mr. Hamilton) that might have tickets. If not, we can get some through a  ticket broker or through a scalper the day of the game (probably the better  way). Let me know",Austin,bass-e
32,_354.subject,"My tickets are in the student section for the game - I have four. I don't  know if you want to sit in the student section b/c you really won't be  sitting much - most of the students stand up the entire game. So, if you  want to sit, we need to work on getting some seats in the alumni section. Jason - if you and Donnita want to come, you can have my two extra seats in  the student section, assuming what I said above is correct. Let me know",UT Game,bass-e
33,_4.subject,"Gary,  What is the market for IAH Jan-Mar HDD swaps (we are looking to BUY)? How  does this compare to the 30 yr avg? Thanks for your help.",JAN-MAR Degree Day Swaps,bass-e
